Timestamp,Region,Intensity Forecast,Intensity Index,Fuel,Fuel Percentage
2025-04-07 13:45:08,East England,134,moderate,gas,12.8
2025-04-07 13:45:08,East England,134,moderate,nuclear,23.2
2025-04-07 13:45:08,East England,134,moderate,other,0
2025-04-07 13:45:08,East England,134,moderate,hydro,0
2025-04-07 13:45:08,East England,134,moderate,solar,36.3
2025-04-07 13:45:08,East England,134,moderate,wind,6.8
2025-04-07 13:45:08,South West England,78,low,biomass,0
2025-04-07 13:45:08,South West England,78,low,coal,0
2025-04-07 13:45:08,South West England,78,low,imports,0
2025-04-07 13:45:08,South West England,78,low,gas,19.8
2025-04-07 13:45:08,South West England,78,low,nuclear,0
2025-04-07 13:45:08,South West England,78,low,other,0
2025-04-07 13:45:08,South West England,78,low,hydro,0
2025-04-07 13:45:08,South West England,78,low,solar,78.8
2025-04-07 13:45:08,South West England,78,low,wind,1.5
2025-04-07 13:45:08,South England,87,low,biomass,0
2025-04-07 13:45:08,South England,87,low,coal,0
2025-04-07 13:45:08,South England,87,low,imports,30.8
2025-04-07 13:45:08,South England,87,low,gas,17.2
2025-04-07 13:45:08,South England,87,low,nuclear,0
2025-04-07 13:45:08,South England,87,low,other,0
2025-04-07 13:45:08,South England,87,low,hydro,0.1
2025-04-07 13:45:08,South England,87,low,solar,50.5
2025-04-07 13:45:08,South England,87,low,wind,1.5
2025-04-07 13:45:08,London,125,moderate,biomass,0
2025-04-07 13:45:08,London,125,moderate,coal,0
2025-04-07 13:45:08,London,125,moderate,imports,42.1
2025-04-07 13:45:08,London,125,moderate,gas,18.2
2025-04-07 13:45:08,London,125,moderate,nuclear,5.5
2025-04-07 13:45:08,London,125,moderate,other,0
2025-04-07 13:45:08,London,125,moderate,hydro,0.2
2025-04-07 13:45:08,London,125,moderate,solar,26.8
2025-04-07 13:45:08,London,125,moderate,wind,7.1
2025-04-07 13:45:08,South East England,124,moderate,biomass,0
2025-04-07 13:45:08,South East England,124,moderate,coal,0
2025-04-07 13:45:08,South East England,124,moderate,imports,48.9
2025-04-07 13:45:08,South East England,124,moderate,gas,19.9
2025-04-07 13:45:08,South East England,124,moderate,nuclear,0
2025-04-07 13:45:08,South East England,124,moderate,other,0
2025-04-07 13:45:08,South East England,124,moderate,hydro,0.3
2025-04-07 13:45:08,South East England,124,moderate,solar,23.6
2025-04-07 13:45:08,South East England,124,moderate,wind,7.3
2025-04-07 13:45:08,England,110,moderate,biomass,8.5
2025-04-07 13:45:08,England,110,moderate,coal,0
2025-04-07 13:45:08,England,110,moderate,imports,17.8
2025-04-07 13:45:08,England,110,moderate,gas,18.6
2025-04-07 13:45:08,England,110,moderate,nuclear,13.5
2025-04-07 13:45:08,England,110,moderate,other,0
2025-04-07 13:45:08,England,110,moderate,hydro,0
2025-04-07 13:45:08,England,110,moderate,solar,37.5
2025-04-07 13:45:08,England,110,moderate,wind,4
2025-04-07 13:45:08,Scotland,92,low,biomass,4.2
2025-04-07 13:45:08,Scotland,92,low,coal,0
2025-04-07 13:45:08,Scotland,92,low,imports,4.6
2025-04-07 13:45:08,Scotland,92,low,gas,20.5
2025-04-07 13:45:08,Scotland,92,low,nuclear,27.1
2025-04-07 13:45:08,Scotland,92,low,other,0
2025-04-07 13:45:08,Scotland,92,low,hydro,0
2025-04-07 13:45:08,Scotland,92,low,solar,32.9
2025-04-07 13:45:08,Scotland,92,low,wind,10.6
2025-04-07 13:45:08,Wales,198,high,biomass,0.3
2025-04-07 13:45:08,Wales,198,high,coal,0
2025-04-07 13:45:08,Wales,198,high,imports,0.6
2025-04-07 13:45:08,Wales,198,high,gas,50
2025-04-07 13:45:08,Wales,198,high,nuclear,0.5
2025-04-07 13:45:08,Wales,198,high,other,0
